Rank,points,Views,Likes,Comments,Title,VideoID,PublishDate,categoryId,Thumbnail,Link,Region
1,12.58,12565251,14524,616,Rashed Al Majed - Bezammah | راشد الماجد - بزعمه,z4ZqMv8MO40,2026-01-27,10,https://i.ytimg.com/vi/z4ZqMv8MO40/hqdefault.jpg,https://www.youtube.com/watch?v=z4ZqMv8MO40,MENA
2,6.48,6416698,58351,3962,Rahma Riad - Sabeh Saadat | رحمة رياض - سبع سعادات,PWhTtI0FBo4,2026-01-20,10,https://i.ytimg.com/vi/PWhTtI0FBo4/hqdefault.jpg,https://www.youtube.com/watch?v=PWhTtI0FBo4,MENA
3,5.23,5211644,13826,770,Majid Al Mohandis - Qalbi Mo Qawi | ماجد المهندس - قلبي مو قوي,WaezhBpw12E,2026-02-01,10,https://i.ytimg.com/vi/WaezhBpw12E/hqdefault.jpg,https://www.youtube.com/watch?v=WaezhBpw12E,MENA
4,3.64,3632767,6206,519,Ziad Bourji - Maraet El Iyam | زياد برجي - مرقت الايام,BKrb35Fn5tY,2026-01-23,10,https://i.ytimg.com/vi/BKrb35Fn5tY/hqdefault.jpg,https://www.youtube.com/watch?v=BKrb35Fn5tY,MENA
5,2.85,2792993,50182,2495,Assala & Ebru Gündeş - Aktar X Gönlümün Efendisi | أصالة و إبرو غوندش - أكثر,5rBmyd6qVP8,2026-02-15,10,https://i.ytimg.com/vi/5rBmyd6qVP8/hqdefault.jpg,https://www.youtube.com/watch?v=5rBmyd6qVP8,MENA
6,2.64,2612026,22321,1566,Ghazwan Al Fahad - Asho Basha | غزوان الفهد - اشو بشه,AD-80Iy7YEA,2026-01-28,10,https://i.ytimg.com/vi/AD-80Iy7YEA/hqdefault.jpg,https://www.youtube.com/watch?v=AD-80Iy7YEA,MENA
7,2.54,2533789,5784,472,Mahmoud Al Turki - Wen Qalbak | محمود التركي - وين قلبك,IKsH4hJInZA,2026-01-20,10,https://i.ytimg.com/vi/IKsH4hJInZA/hqdefault.jpg,https://www.youtube.com/watch?v=IKsH4hJInZA,MENA
8,2.43,2416202,10567,1050,Saad Ramadan - Ma Baaref Kif | سعد رمضان - ما بعرف كيف,Tpzrnc3evLw,2026-02-07,10,https://i.ytimg.com/vi/Tpzrnc3evLw/hqdefault.jpg,https://www.youtube.com/watch?v=Tpzrnc3evLw,MENA
9,2.28,2255857,21983,3345,Siilawy - Laanet Waai | سيلاوي - لعنة وعي,S6TEak8bauA,2026-01-22,10,https://i.ytimg.com/vi/S6TEak8bauA/hqdefault.jpg,https://www.youtube.com/watch?v=S6TEak8bauA,MENA
10,2.27,2264314,3291,1109,Yara - Methl El Goumar | يارا - مثل القمر,rxVJNi4Uigo,2026-01-19,10,https://i.ytimg.com/vi/rxVJNi4Uigo/hqdefault.jpg,https://www.youtube.com/watch?v=rxVJNi4Uigo,MENA
